gene,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
TP53,7.64,7.7,8.09,7.7,7.97,7.61,9.54,9.75,8.49,9.18,9.08,8.98
BRCA1,7.55,8.61,7.2,8.3,6.71,7.52,7.81,8.07,8.14,8.19,7.51,7.44
BRCA2,4.28,3.65,3.0,3.09,3.22,4.07,3.85,4.18,3.51,3.86,4.14,3.58
EGFR,5.98,5.31,5.48,5.47,4.98,5.99,5.42,5.71,5.99,5.97,6.1,5.64
MYC,4.97,5.18,4.21,4.36,4.43,4.63,6.96,6.18,6.5,7.5,6.51,7.17
KRAS,8.0,8.44,7.99,8.36,9.06,7.52,8.82,8.7,8.2,7.69,8.6,8.24
NRAS,7.0,6.88,7.82,6.72,6.25,6.97,7.0,7.68,7.36,7.08,7.74,6.15
HRAS,7.55,7.38,7.7,7.11,8.32,7.8,7.05,7.33,8.12,8.44,9.13,9.68
PTEN,5.91,5.07,4.38,5.82,5.17,5.41,3.89,4.18,4.9,4.35,4.17,3.64
RB1,3.36,4.07,4.33,5.42,4.44,4.95,3.26,2.85,2.98,3.13,4.84,3.07
MDM2,6.83,5.79,6.89,6.56,6.23,6.3,5.93,6.6,6.05,5.59,5.56,6.43
CDKN2A,4.33,3.48,3.31,3.55,4.17,3.51,2.04,2.95,2.54,3.2,2.39,1.55
PIK3CA,7.14,8.96,9.0,7.86,7.74,8.84,7.3,7.43,8.35,7.73,7.96,7.87
AKT1,6.99,7.63,6.84,7.18,5.56,6.76,6.28,6.06,6.26,6.59,7.34,5.99
BRAF,7.57,7.26,7.35,8.15,7.87,8.35,7.46,7.13,7.41,7.69,7.65,6.9
ALK,5.18,5.26,6.64,6.25,4.62,4.95,4.25,4.77,5.32,5.85,4.69,4.73
ERBB2,7.54,8.73,8.19,8.51,8.3,8.77,7.77,7.94,10.1,8.05,8.17,9.93
VEGFA,10.1,7.66,8.14,8.56,9.4,7.77,9.51,10.13,9.92,9.43,9.58,8.83
CTNNB1,7.53,7.51,7.81,7.34,7.95,8.28,7.76,7.88,7.7,7.67,7.24,7.86
APC,4.11,5.42,5.11,4.4,3.71,3.5,4.88,4.33,4.46,3.12,4.72,4.44
SMAD4,5.13,5.52,5.96,5.83,5.63,5.74,5.65,5.89,6.68,4.26,5.66,5.91
NOTCH1,3.44,3.04,2.21,3.46,4.3,2.34,3.78,3.07,3.23,2.63,3.06,4.04
STAT3,4.28,4.97,4.63,4.19,4.97,4.19,5.32,4.65,4.87,4.41,5.42,4.12
JAK2,7.57,6.98,7.8,7.55,8.19,7.54,6.16,7.06,6.4,6.79,8.01,7.48
FLT3,7.05,6.86,7.49,6.74,7.07,7.66,8.16,7.83,6.09,7.65,7.51,7.72
IDH1,9.77,7.57,8.45,9.16,7.86,9.69,9.03,9.31,8.46,9.29,9.45,8.94
IDH2,5.1,5.12,4.44,4.87,4.86,5.18,5.55,4.32,4.88,5.84,4.51,4.46
MET,5.34,5.73,5.23,6.02,5.74,5.73,5.56,6.62,5.1,4.02,6.19,4.95
ROS1,5.88,6.6,4.86,5.07,4.86,5.34,6.08,6.13,5.98,4.97,4.43,5.85
RET,3.85,4.41,4.56,4.22,4.59,4.27,4.45,3.71,4.03,4.25,4.63,3.9
KIT,4.09,3.62,3.71,4.28,2.58,3.0,2.89,2.38,3.37,4.23,3.61,3.9
PDGFRA,6.51,6.65,5.81,6.67,5.91,5.35,5.5,4.97,5.32,5.64,6.34,6.89
FGFR1,3.53,4.6,3.74,4.65,4.28,3.26,4.92,4.0,4.04,3.72,3.97,4.62
FGFR2,6.91,7.22,7.24,7.81,6.81,6.13,7.66,6.82,7.69,7.25,6.94,7.23
FGFR3,6.79,6.87,5.66,5.72,6.27,5.12,5.82,5.61,5.81,5.12,4.67,4.38
ATM,7.33,7.72,7.82,9.16,8.66,7.42,8.2,7.75,7.83,8.11,8.37,7.79
CHEK2,7.84,6.52,7.21,8.76,7.34,8.06,7.26,7.55,7.17,7.1,6.73,7.46
MLH1,4.36,5.27,5.53,5.09,4.7,5.15,4.69,5.44,3.78,4.67,3.68,3.98
MSH2,8.81,8.53,7.56,7.09,6.21,7.67,9.45,8.25,7.66,8.27,7.06,7.82
MSH6,7.89,7.78,8.3,8.04,8.23,7.42,8.37,8.81,7.25,7.3,8.63,7.71
